superclass,class,type,variant,style,product_id,product_name
Clothing,Casual Wear,Bottom-wear,One-Shoulder Dress,Loose Fit Dress,08d5952319c2efbb3c078eea151eff3b0b8b5fc3c1916d9bcc45285c7103cb78,One-shoulder dress
Clothing,Casual Wear,Bottom-wear,Bandeau Dress,Strapless Sleeveless Dress,f5bc58b78036e55c23c6a48b0260b22353f3f17881f2a58ff548ff1e03b428c7,Tulle-skirt bandeau dress
Clothing,Casual Wear,Bottom-wear,Flared Maxi Dress,Turtleneck Lace Maxi Dress,99f85a4db13b4cad954ca548d864cf9b6bd6c93a3c3da92a9d2e80ea0dae988c,Turtleneck lace maxi dress
Clothing,Casual Wear,Bottom-wear,Asymmetric Crêpe Dress,Asymmetric Maxi Dress,83496e92cca33cf9bc569b4c1b604ee10a1f35d09b7a8b8f414cc7acc57db018,Sheer-skirt maxi dress
Clothing,Casual Wear,Bottom-wear,Flared Dress,Strapless Sleeveless Dress,68479a42f332bf00daa87a20d5e82a124ce5ea6b225450bc14000c47882f587b,Flared-skirt dress
Clothing,Casual Wear,Bottom-wear,Flared Mini Dress,Flared Dress,555c7856f5a24931b254a3c0cf156a491845fa11a82145b5179bc7925f89c32b,Flared-skirt rib-knit mini dress
Clothing,Casual Wear,Bottom-wear,Asymmetric Crêpe Dress,Asymmetric Maxi Dress,46a40f269f304f064ebf4cdb278af9ca322381249bbe2e8ff0b0020058e8d06f,Asymmetric crêpe dress
Clothing,Casual Wear,Bottom-wear,Bandeau Dress,Strapless Sleeveless Dress,3248f4276dcb3d65f07e85619a8113ae5ef87800d633bfc299f7dcbe7aa74ac8,Denim bandeau dress
Clothing,Casual Wear,Bottom-wear,One-Shoulder Dress,Bodycon One-Shoulder Dress,342c8304257849e96c66c488cf8c0e50c23c896e7599c2a7117a4572d031dec0,Coated one-shoulder dress
Clothing,Casual Wear,Bottom-wear,Draped One-Shoulder Dress,Bodycon with Draped Elements,0f747be10a2e4190552f42ef7a7840f64533ac8226879b2137d5f54e9a183c80,Draped twill dress
Clothing,Casual Wear,Bottom-wear,Tiered Maxi Dress,Strapless Sleeveless Dress,052597a7450de72f3e2a178a1a4147c7ed00674815d3180a2c582457457cd139,Tiered dress
Clothing,Casual Wear,Bottom-wear,Butterfly-sleeved dress,Flared Dress,f39acf8a64ccaf44410050142e9db99661a9ceb4125c8f6252b16b06d23e0026,Butterfly-sleeved dress
Clothing,Casual Wear,Bottom-wear,Flared Dress,Strapless Sleeveless Dress,d94f0f35f5c3b79739bf9e3c9f0a268b864c101ab657b36f295b212db57ad237,Flared-skirt dress
Clothing,Casual Wear,Bottom-wear,Sequined bandeau dress,Floral Appliquéd Dress,0127771e57530aa7c07b7b8a609cdba93521f495738e4172c891aff057ba6899,Appliquéd bandeau dress
Clothing,Casual Wear,Bottom-wear,Balloon-sleeved dress,Balloon-sleeved Dress,071a11f127be28cd3d80b8ed0868773e647e20fb34abb74e1c2667665005a3cb,Balloon-sleeved dress
Clothing,Casual Wear,Bottom-wear,One-Shoulder Dress,Bodycon One-Shoulder Dress,55df6af26eddb92032ac96ed005ad609c85bd48e1bb77716902193fc5a624149,One-shoulder bodycon dress
Clothing,Formal Wear,Top-wear,Blazer Dress,Satin Finish,8882958fa6a6300ee58d8477cceb123518ac0d013b85cde763a8c979b383f7ed,Tuxedo blazer dress
Clothing,Casual Wear,Bottom-wear,Flared Midi Dress,Strapless Sleeveless Dress,c24708ef270ec8756a7818737a2be4333a153d0cff1f47d611d749ff752abaf5,Strappy midi dress
Clothing,Casual Wear,Bottom-wear,Sequined Midi Dress,Sequined Sleeveless Dress,111b1938704f8477c05728e45d8fa4caada1da93537c02a876eb577de1885e03,Sequined bandeau dress
Clothing,Casual Wear,Bottom-wear,Scalloped Mini Dress,Strapless Sleeveless Dress,8b878af6ea370446b6687f9772d0018e1f7183b7655e6d57059dc7a1a72042ca,Scalloped dress
Clothing,Casual Wear,Bottom-wear,Flared Maxi Dress,Sheer-skirt maxi dress,6d808a44fb338b6dc113503cadcc0599cedabca20eaeefb8d4ff5ecbc629a223,Flounced maxi dress
Clothing,Casual Wear,Bottom-wear,Rib-Knit Midi Dress,Cable-knit midi dress,d4b1bfb4f4364838d60b524daecfedb554ddaa77261a0d73341e72aa9d0db1ff,Rib-knit dress
Clothing,Casual Wear,Bottom-wear,Sequined Mini Dress,Strapless Sleeveless Dress,6537298190956d53c10d0cbc522040f264ee751ecb7d78d5fe45ffa4303b727c,Rhinestone-embellished mini dress
Clothing,Casual Wear,Bottom-wear,Flared Mini Dress,Flared Dress,3a154b4de8efafcf7c92666e5e61aab46231690990673c06a9b03b504ac41de3,Jacquard-weave tie-back dress
Clothing,Casual Wear,Bottom-wear,Cable-knit Midi Dress,Cable-knit midi dress with long sleeves and dropped shoulders,177727707267894222975167cdf219a7dd65549c5f88b725f543ca3521750de9,Cable-knit midi dress
Clothing,Casual Wear,Bottom-wear,Sequined Midi Dress,Sequin-embroidered Mesh Dress,804f5c111779ddc694691525a01e043986f52c8f96f758a208977020bf744e1c,Sequin-embroidered mesh dress
Clothing,Casual Wear,Bottom-wear,Flared Dress,Strapless Sleeveless Dress,67c8f3699e7a93256650c5f81896ba149f79f7f1c355c6b6fc1b075be8b8df35,Jacquard-weave bandeau dress
Clothing,Casual Wear,Bottom-wear,Flared Maxi Dress,Flounce-trimmed chiffon dress,074eee64a73fd85f0760c7575556cb704e510b1b4388c5abb58979cc1ab959d1,Flounce-trimmed chiffon dress
Clothing,Casual Wear,Bottom-wear,Fringed Maxi Dress,Strapless Sleeveless Dress,f8547323857644d2465a3b368760756b789f62a6d97b41eb98bd9f719b0ef5b9,Fringed dress
Clothing,Casual Wear,Bottom-wear,Sequined Dress,Strapless Sleeveless Dress,a6afaaf05d9892f8f1e1a8b852aed1f2b230dbb67142b539b9a6ddfb6f27e16b,Sequined tie-back dress
Clothing,Casual Wear,Bottom-wear,Sequined Midi Dress,Sequined Sleeveless Dress,28d51e8ed9444c7986216c266747d40b1f301dde8a5d84ce86b5e8eaa7c1af28,Sequined deep-back dress
Clothing,Casual Wear,Bottom-wear,Strappy Dress,Strapless Sleeveless Dress,0831f7df945ebe8b13b9b54dc3671ac0609b2a57058b84eaded06acfb3433e10,Tie-detail strappy dress
Clothing,Casual Wear,Bottom-wear,Bow-detail dress,Strapless Sleeveless Dress,835de0f0b8510b5825fd8fd03a6923f4821d9cff7f187d31c7238da1d6c9000b,Bow-detail sleeveless dress
Clothing,Casual Wear,Bottom-wear,Flared Dress,Flared Dress,b7dcebd36bec18dc443a317cd8651992505713d57b1476af3410c925b8a0cc34,Long-sleeved dress
Clothing,Casual Wear,Bottom-wear,Strappy Midi Dress,Strapless Sleeveless Dress,8f7883b102c0a5b831b0bf7c48da388156de627816732908a78c638fc3784703,Strappy midi dress
Clothing,Casual Wear,Bottom-wear,Sequined Midi Dress,Sequined Wrap Dress,8e484de9c94700ef38fa1993fe5a5f15efa8fded98ab49296254caca08ba4e92,Sequined wrap dress
Clothing,Casual Wear,Bottom-wear,Cable-knit Midi Dress,Cable-knit midi dress with long sleeves and dropped shoulders,e5f86f4544478b1784c603216df6ad9316c36431aadd56e01b02c0546b8ece85,Cable-knit midi dress
Clothing,Casual Wear,Top-wear,Sweater Dress,Casual Wear,c790eae86b4afd22d0555cf26d5b2c78162f9024d3f97b711b4d3a336e782c6f,Cable-knit dress
Clothing,Casual Wear,Bottom-wear,Flared Dress,Strapless Sleeveless Dress,89bdf24b6fcdb1ab02778a18877e511365112b2911079890d12d03b5a2326b3a,Jacquard-weave mini dress
Clothing,Casual Wear,Top-wear,Polo Dress,Slim-fitting Dress,a8e6627bd5e0ca7e9f4160129be8a8d50d53a44f407fe64d04e391682a5b3697,Fine-knit polo dress
Clothing,Casual Wear,Bottom-wear,A-line dress,Sheer-skirt maxi dress,fd38c8228f36528959249ef94382b9b33a83b8012cf95f231c130ea6a7199602,A-line dress
Clothing,Casual Wear,Bottom-wear,One-Shoulder Dress,Asymmetric One-Shoulder Dress,39dfcf797a6bfc3c49e94e30b8b7e62a4aaf366f75e5a5b34967f230667ae806,Belted one-shoulder dress
Clothing,Casual Wear,Bottom-wear,Puff-Sleeved Flared Dress,Flared Dress,40182f98de12fb3d4365a0adfbdcf3f680cae59854bb16dd1ea2034b4e72182b,Puff-sleeved smocked dress
Clothing,Casual Wear,Bottom-wear,Flared Midi Dress,Slim Fit Dress,169cbe446d777d444ffafdda9056945f7ec4d74dcdd3cfc39074d651de13d39a,Jacquard-weave dress
Clothing,Casual Wear,Top-wear,Polo Dress,Slim-fitting Dress,d3e77fc015b83d9c16c5cb04f9bf8bb7262804d9d3a69ad40f9c0067b3624957,Bodycon polo dress
Clothing,Casual Wear,Bottom-wear,Puff-Sleeved Flared Dress,Strapless Sleeveless Dress,2cb35025d31dbe3adec16e6a56ad58371a24c9f1ea4a3e13ef16ef27004af8eb,Bubble-hem dress
Clothing,Casual Wear,Bottom-wear,Sequined Mini Dress,Sequined Sleeveless Dress,3bf43b29bd2ea626e0095d99e7b8476914e24bb62d9ee067c6d344c934e60676,Sequined mini dress
Clothing,Casual Wear,Bottom-wear,Bodycon Dress,Strapless Sleeveless Dress,1721362fba47a8134926bcd75a4d6a126d063ad6bca06f78df4a6d927a0fbd87,Ribbed bodycon dress
Clothing,Casual Wear,Bottom-wear,Flared Sequined Dress,Sequined A-line Dress,1232dea4b3ac94b5dc87edebdef2b6052711999a1c15ef48cb1203cb75ad681a,Sequined A-line dress
Clothing,Casual Wear,Bottom-wear,Ruffle-sleeve dress,Ruffle-trimmed dress,fe3fda5aa62973d7420486659e68714db2d4d363c44c7282fd5d76ca16e7fad0,Ruffle-sleeve satin dress
Clothing,Casual Wear,Bottom-wear,One-Shoulder Dress,Loose Fit Dress,f41908935378fb6836a65ad1883c4dee6a32ad3bc907bc9f52b14c109648026b,Draped twill dress
Clothing,Casual Wear,Bottom-wear,Strappy Midi Dress,Flounce-trimmed chiffon dress,554e3fa7b40878dfe13709daa6f9486af63a92d10e939c7a1b290cc44fa3034c,Flounced chiffon dress
Clothing,Casual Wear,Bottom-wear,Pleated Midi Dress,Balloon-sleeved Dress,76e675478ab64857aeb5f3ea56344808291a7f6122f5389b863ab60c59e2cd16,Pleated chiffon dress
Clothing,Casual Wear,Bottom-wear,Puff-Sleeved Flared Dress,Flared Dress,3d0376660fb3479bff15cd84ffbe27fb8b8a0645f556c2794b42216373b14d42,Puff-sleeved smocked dress
Clothing,Casual Wear,Bottom-wear,Puff-Sleeved Flared Dress,Flared Dress,b9e9683fa5d08b7ee26e5b37cb5a3906f6a7eeaa63a463fd21508fa235649ce3,Puff-sleeved smocked dress
Clothing,Casual Wear,Bottom-wear,Rib-Knit Midi Dress,Loose Fit Dress,fbfb7f2e082e12031a7dbc479d5c74f45625d9e556846743f69c8547a816694e,Knitted dress
Clothing,Casual Wear,Bottom-wear,Bow-detail dress,Strapless Sleeveless Dress,b5a4dab8b59a2acb61ffb727c258699b09ca7fb4907f471742a5bb1767bf9a53,Bow-detail sleeveless dress
Clothing,Casual Wear,Bottom-wear,Bodycon Dress,Bodycon Sleeveless Dress,ba14cdb28e6181297a3fd776ac8d340250281b0e70743bb87a3d11828bb50a6a,Rib-knit bodycon dress
Clothing,Casual Wear,Bottom-wear,Rib-Knit Midi Dress,Scoop-neck rib-knit dress,8db04374e6caa813d5fc582b90c34715f7e3b50b380ed733c54edf83fe4e655b,Scoop-neck rib-knit dress
Clothing,Casual Wear,Bottom-wear,Sequined Mini Dress,Sequined Sleeveless Dress,89b3aefa35762ebb296e284f786d7e3aa74a225c8cdb2dcfa514bf45ce553ef5,Sequined net dress
Clothing,Casual Wear,Bottom-wear,Asymmetric Crêpe Dress,Strapless Sleeveless Dress,2f5664f81d3324a4643de655bf782afdc5cd3414f5e87966f8f99b5f715b789d,Embellished dress
Clothing,Casual Wear,Bottom-wear,Flared Mini Dress,Fringe-hem mini dress,2874edbbad6a60ef68be460262867980aecb133134fc3b58bc09563ed838eabd,Fringe-hem mini dress
Clothing,Formal Wear,Top-wear,Blazer Dress,Satin Finish,fe6cf6585a36099220db719acb447539d9b9e0c69c65fc473620f819387d032f,Mini blazer dress
Clothing,Casual Wear,Bottom-wear,Bow-detail dress,A-line Dress,c2478295b5b04e58ec99d3a5f7e4b358bf1ef1652db1e24082432e20d750f2f5,Bow-front satin mini dress
Clothing,Casual Wear,Bottom-wear,Flared Maxi Dress,Loose Fit Dress,95541703c5ec626f0da26a37c8c4e85d672e9678ab841062bba8203fbef83514,Crochet-look beach dress
Clothing,Casual Wear,Bottom-wear,Moss-knit A-line Dress,Cable-knit midi dress,45032b45fc485655c5233f4bb5a3cb6cc86cccb402fd8df240850d1eee243f73,Moss-knit dress
Clothing,Casual Wear,Top-wear,Bandeau Mini Dress,Slim-fitting Dress,151ff38791bd6da587a010b9055a9927cc52ca2d69a33b08331cc3ad0941aa27,Bandeau mini dress
Clothing,Casual Wear,Bottom-wear,Puff-Hem Dress,Flared Dress,bf15b7173f934f8075ff5a276a1d8b1e29b6274bd291bbabd3661aabc144d773,Bubble-hem dress
Clothing,Casual Wear,Bottom-wear,Midi Dress,Slim Fit Dress,961b9474e3b440c38eb6649d603f1306d8d9dc9f06ab5ee499ac5193017ec10f,Fitted jersey dress
Clothing,Casual Wear,Bottom-wear,Sequined A-line Dress,Sequined A-line Dress,73279b67d596c74090239632b59bcf41996411ec18f313209feeabb4abc3e0db,Sequined A-line dress
Clothing,Casual Wear,Bottom-wear,Bodycon Mini Dress,Bodycon Sleeveless Dress,4682bc518346782a4ba659705b7aa031dca106244e767292a67b217c871fb9ca,Knitted mini dress
Clothing,Casual Wear,Bottom-wear,Sequined Midi Dress,Sequined Sleeveless Dress,0cf5b859693bd65615818baad0bfdbcddf77d8ec648e434430836729fc7c4e07,Sequined deep-back dress
Clothing,Casual Wear,Bottom-wear,Rib-Knit Midi Dress,Cable-knit midi dress,6637775b6a91f16d7323b9a196106dd433756c4cb610b3b1e545fb30f23f0651,Rib-knit dress
Clothing,Casual Wear,Bottom-wear,Flared Mini Dress,Slim Fit Dress,5791dee1d27089f81d561d4da8864726384b95662160f016af087b129bae68e9,Jacquard-weave dress
Clothing,Formal Wear,Top-wear,Strappy Dress,Sequin,b0b461d4a03235f2cdb475b793734504f9605ed4d621a2a648273d7e14426b2a,Tie-detail strappy dress
Clothing,Casual Wear,Bottom-wear,One-Shoulder Dress,Asymmetric One-Shoulder Dress,adf2e73de9fef123f96ef93ac0d5123c03094e6a301fe6b93e44bf01340788de,Draped one-shoulder dress
Clothing,Casual Wear,Bottom-wear,Bodycon Dress,Bodycon Sleeveless Dress,8817029885f2efc4e037afa4edb4efc5ad39f5c58118dd37e56795646fac9cf9,Rib-knit bodycon dress
Clothing,Casual Wear,Bottom-wear,Draped One-Shoulder Dress,Balloon-sleeved Dress,c1d53d7994dfb941f03e7597b4b88922f8ad3047ae6a6d93ad6f364a1743d42a,Draped twill dress
Clothing,Formal Wear,Top-wear,Blazer Dress,Satin Finish,d7d0d4ab6c28c11a8325507942cf68171172227ed0e02e64571a3a4494dcbc10,Twill blazer dress
Clothing,Casual Wear,Bottom-wear,Flared Dress,Flared Dress,d3eaefb5a49177c84988183dd2952ddef7e9bb0a80a1d0d01df6d1a01c6e2790,V-neck dress
Clothing,Casual Wear,Bottom-wear,Bow-detail dress,Strapless Sleeveless Dress,a61fae16d289717de082333301a8920e84d995c340910dc1baa642a1416e83d5,Jacquard-weave bow-back dress
Clothing,Casual Wear,Bottom-wear,Puff-Sleeved Flared Dress,Flared Dress,8526cd422cf59a32c8f502c1c59988278064c4a0bc6d45088e6b563fa61cf38d,V-neck dress
Clothing,Casual Wear,Bottom-wear,Pleated Midi Dress,Flared Dress,782480f667c07841c8765c83522bcca1c6a8855ee53fd52e50be80302a0d72f8,Pleat-sleeved dress
Clothing,Casual Wear,Bottom-wear,A-line dress,Scoop-neck rib-knit mini dress,454080da378fd46d45b1f331a12dd29fc05ec6edd9ce74426c191174405d4817,Knitted mini dress
Clothing,Casual Wear,Bottom-wear,Flared Dress,Flared Dress,c38fe32e6aa0c906963e142dc0007e31f1c91d69b34fd8f8440b96100c332ecc,Flared-skirt twill dress
Clothing,Casual Wear,Bottom-wear,Bodycon Dress,Bodycon Sleeveless Dress,f6ad562e0b678258af3f28e39f44cec2f6844714695ec7154dbefb4e16400d38,Jersey bodycon mini dress
Clothing,Casual Wear,Bottom-wear,Sequined A-line Dress,Sheer-skirt maxi dress,4326dc6d3a59bf129e2cf0f1a9525ee16b2139e6cad95a5582608b722f594209,Rhinestone-decorated dress
Clothing,Casual Wear,Bottom-wear,Strappy Midi Dress,Strapless Sleeveless Dress,dd342660a3c327f2798592813906ce5b85567256ace624d08fb21c28432d1b36,Tie-strap midi dress
Clothing,Casual Wear,Bottom-wear,Flared Dress,Strapless Sleeveless Dress,8de342358d22ae8df6cc2a6ab417d3e633e43e1bd2ff2b63120ed25bf1c68654,Long turtleneck dress
Clothing,Casual Wear,Top-wear,Polo Dress,Slim-fitting Dress,9a87fb002607f075e248df5afe4cb21cdaff334ff6c81aaf3d142e3051d4cee8,Fine-knit polo dress
Clothing,Casual Wear,Bottom-wear,Scalloped Mini Dress,Flared Dress,e87c846fe940b0550437c62fc414fd8b464634a22793464fbf724b1d895eeb4b,Scalloped twill dress
Clothing,Casual Wear,Top-wear,Beach Tunic,Flowing Sleeve Dress,d628f569cbd8e2eee487901db106d0da44d16b5d7964cf574925833d578d7fd4,Beach tunic
Clothing,Casual Wear,Bottom-wear,Asymmetric Ribbed Dress,Asymmetric Dress,6fa3ac97847b991aca2e11e55b2b448a870b8aaad6619c2e9504597f32076a7d,Ribbed asymmetric dress
Clothing,Casual Wear,Bottom-wear,Strappy Dress,Strapless Sleeveless Dress,be2f35e3f37c27e86efdf376e573417c1e6cc707fb2db0d1ae4e98b36f8650b9,Bow-detail strappy dress
Clothing,Casual Wear,Bottom-wear,Flared Chiffon Dress,Flounce-trimmed chiffon dress,4b2d04a20074c9451836b4fe97aae3954c830850e9aba7ed4eaa54777bf31ca3,Frill-trimmed chiffon dress
Clothing,Formal Wear,Top-wear,Blazer Dress,Sequin,422a4a7efee36adcb1bb9951e5c3b10e301706911fc8859cbe2c4e94bc7811d2,Rhinestone-button blazer dress
Clothing,Casual Wear,Bottom-wear,Maxi Dress,Turtleneck Dress,16c3983a204dec2f3d0606577c918d688ab093c3baeaf532c380be328d15fafa,Draped turtleneck dress
Clothing,Casual Wear,Bottom-wear,One-Shoulder Dress,Bodycon One-Shoulder Dress,a7ca1ec8231e06d130e7a0a80a6096bb86939abf6328b322c2a905050cf461af,Draped one-shoulder dress
Clothing,Casual Wear,Bottom-wear,Blazer Dress,Strapless Sleeveless Dress,306ca2fda6df500a2aa2848bd6bd1ef150db3eb99fe61ae835cc71019259232c,Sleeveless blazer dress
Clothing,Casual Wear,Bottom-wear,Sequined A-line Dress,Strapless Sleeveless Dress,14eb46cbc678641319a46a48d6fe3499863f404933aeeb3dea0b5db1e8498b75,Jacquard-weave mini dress
Clothing,Casual Wear,Bottom-wear,A-line dress,Strapless Sleeveless Dress,88d49687310d9fc527700e88fda00b0e2610f6af785843ec61c4519aebf21f3d,A-line dress
Clothing,Casual Wear,Bottom-wear,Asymmetric Flared Dress,Asymmetric Maxi Dress,03e7d55be4a8d0b92ca1bec15f633163dbc6164ba0c97f108578b4e389489529,Embroidered-motif asymmetric dress
Clothing,Casual Wear,Top-wear,Tiered Dress,Flowing Sleeve Dress,ee963af64be4045feed3d55a1faa3d855da976b2827e65195070f07f2cf951aa,Frill-trimmed chiffon tunic dress
Clothing,Casual Wear,Bottom-wear,Strappy Midi Dress,Strapless Sleeveless Dress,f036d59a0e7c9fcd38f67654fc51d76fcece48f0fa566fed4e436a4717d96725,Button-front strappy dress
Clothing,Casual Wear,Bottom-wear,Flared Chiffon Dress,Flounce-trimmed chiffon dress,352b3cf3c1adc74b9ffdf608d02bc7b0a7084f8e0b820aa1840383fa77daec14,Long chiffon dress
Clothing,Casual Wear,Bottom-wear,Flared Dress,Flared Dress,5ad2db5ea6ee46fa4089414ad50192a8c2c06aaf4a8554d71782c9ab8cc69c77,Flared-skirt dress
Clothing,Casual Wear,Bottom-wear,Rib-Knit Midi Dress,Scoop-neck rib-knit dress,26d4d6190cf0ae216df387d8e66adc7ebe34c9aa02b9a79b58ef1eba4cdf26f9,Rib-knit button-front dress
Clothing,Casual Wear,Top-wear,Off-the-Shoulder Dress,Off-the-Shoulder Dress,a56a6d15468476d3c6093db39a08a41813fd054e9b25174bc22b72beac2fdf49,Rib-knit off-the-shoulder dress
Clothing,Casual Wear,Bottom-wear,Dress,Strapless Sleeveless Dress,944c804d9b65243d09a32453b6005fe102478442a2fe0f25c366f2e8b278034a,Button-front dress
Clothing,Casual Wear,Bottom-wear,Bodycon Dress,Bodycon Dress,b8595e837609f1c22ec3b5d141490a77b07c1e1f9d937fb67967f284ca98d0a4,Turtleneck mini dress
Clothing,Casual Wear,Top-wear,Bandeau Mini Dress,Slim-fitting Dress,7c691c42743c54a93fdb6ace77fca7b9523e478325c93e63604dd79e33c3d716,Turtleneck mini dress
Clothing,Casual Wear,Top-wear,Tiered Dress,Crêpe Dress,209b2e31af4d17354b03f7c24056a8850e8e0d07093c4f65f8741cd0b8295f6a,Layered crêpe satin dress
Clothing,Casual Wear,Bottom-wear,Flared Midi Dress,Flounce-trimmed dress,4e8ec2ee53f410c9d665401f412341e1cb056b878b3f67d2509e832745eb2aee,Frill-trimmed dress
Clothing,Casual Wear,Bottom-wear,Sequined Midi Dress,Sequined Sleeveless Dress,39d99c2ba5f7ebf4aeb71de63e8e563ffd7c2e1ef250e39584d01a169ec5cc29,Sequined mini dress
Clothing,Casual Wear,Top-wear,Tiered Dress,Crêpe Dress,c43fc75a2b5afb0e51b03d61bec943ce4ae39f6367a7de0d74e9b3b231284161,Layered crêpe satin dress
Clothing,Casual Wear,Bottom-wear,Sequined One-Shoulder Midi Dress,Sequined One-Shoulder Dress,58c9e59872408f3fec5ab87edf645f0f78726439da9b8f4053fb1467e258661b,Sequined one-shoulder dress
