index,entity_id,post_image_urls,description,style attributes,superclass,class,type,variant,style
0,0,https://instagram.fdel27-7.fna.fbcdn.net/v/t51.2885-15/480497959_18626651626001321_1103659959997687485_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=instagram.fdel27-7.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2AGx_x5WIL4ivM6SGFbxiBU5M0QynNGUFV4WbPGG7GjAWvGCSPFAmg_Wqd37vlAbwf8&_nc_ohc=29NeieusoXgQ7kNvgH3CCQc&_nc_gid=caf1138545ef45849f9c68281a7c969e&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYC9jHgNhDB8sTx0OYAoIcbmHV3UvhM29XAe_gj_2jpLFg&oe=67BC851A&_nc_sid=d885a2,"The main object in the image is a soccer ball, which is a popular sports ball used for playing soccer. It is a round, inflatable ball with a rubber or plastic cover, filled with air to provide buoyancy and bounce. The soccer ball is designed to be durable and easy to handle, making it suitable for various playing conditions and skill levels. It can be used for casual games, practice sessions, or even competitive matches. The soccer ball can be kicked, thrown, or headed, and it is an essential piece of equipment for anyone looking to enjoy the sport of soccer.","[
  { ""Color"": ""White/Black"" },
  { ""Material"": ""Rubber/Plastic"" },
  { ""Durability"": ""High"" },
  { ""Function"": ""Sports equipment"" },
  { ""Use"": ""Casual/Practice/Competitive"" }
]",Accessories,Sports Equipment,Ball,Soccer Ball,"Durable, Functional"
1,1,https://instagram.fdel27-7.fna.fbcdn.net/v/t51.2885-15/480190250_18606423796056421_4865787683655900569_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=instagram.fdel27-7.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2AG7gfvhLN1FNvY1NZm_nhxYuT6ZD-wSCvj9kugXlg6xtuFIBBmRoTjdKdENPOf0dms&_nc_ohc=CmgaKLJI7dIQ7kNvgGPHi1j&_nc_gid=766cd16218a840929e5a4314d35618a8&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYChwK3g0QVfLgGg3lyctNWMNhqilN4RAYtUCR0YCMHEWA&oe=67BC59CF&_nc_sid=d885a2,"The image features a man wearing a soccer jersey, which is a type of clothing. The jersey is grey and has the number 7 on it, indicating that it is likely a sports jersey. The man is standing on a field, suggesting that he is either participating in a soccer game or practicing his skills. The jersey is an essential piece of sportswear for soccer players, providing comfort and allowing for freedom of movement during the game. It is also a great way to show support for a favorite team or player. The jersey can be worn during games, training sessions, or even as a casual fashion statement.","[
  { ""Color"": ""Grey"" },
  { ""Pattern"": ""Numbered"" },
  { ""Style"": ""Athletic"" },
  { ""Material"": ""Lightweight fabric"" },
  { ""Function"": ""Sportswear"" },
  { ""Fit"": ""Comfortable/Loose"" },
  { ""Use"": ""Casual/Game/Training"" }
]",Clothing,Top,Jersey,Soccer Jersey,"Athletic, Numbered, Loose Fit"
2,2,https://instagram.fdel27-7.fna.fbcdn.net/v/t51.2885-15/480082862_18556417945033891_4455697343797189186_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=instagram.fdel27-7.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2AGZ2wQx-uYi7H0zkvHeR7CDQBr60r-5EWMLqPG5N6uqpsYD4FYYNfmu7Ike-flxrXQ&_nc_ohc=Yoa_bu6H0rkQ7kNvgF-TOEz&_nc_gid=a0b429a1ecb24b80ad65263646a21950&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYAr-mFkeGkWHxVz9eTLMKlEmRTknqHwr1EKLRt-oFfhRw&oe=67BC7CC2&_nc_sid=d885a2,"The main object in the picture is a bottle of water being held by a man wearing a pink and white striped shirt. The water bottle is blue and has a white label. This bottle of water is a convenient and healthy option for staying hydrated during sports activities, workouts, or outdoor events. It is lightweight and easy to carry, making it a popular choice for athletes and fitness enthusiasts. Additionally, the man's pink and white striped shirt adds a touch of color and style to his outfit, making it a fashionable choice for various occasions. The shirt can be worn as a casual or sportswear piece, and its bold colors make it a statement piece that can be easily paired with other clothing items.","[
  { ""Color"": ""Pink/White"" },
  { ""Pattern"": ""Striped"" },
  { ""Material"": ""Cotton/Blend"" },
  { ""Style"": ""Casual"" },
  { ""Fit"": ""Regular"" },
  { ""Durability"": ""Moderate"" },
  { ""Function"": ""Everyday wear"" }
]",Clothing,Top,Shirt,Striped Shirt,"Casual, Regular Fit"
3,3,https://instagram.fdel27-7.fna.fbcdn.net/v/t51.2885-15/474101750_1285540566056637_2750582215628694886_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=instagram.fdel27-7.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2AFgXQC78eotKeqZmVH-UmQIwoaLJj9lQ64k3GOi1gQ9biUHwT71-SncBhWpDuwGp2I&_nc_ohc=yJqKZjVu0FMQ7kNvgFPXH0K&_nc_gid=ec7d5ffacd3d426f8cabcd1637b12c97&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYDLSJjyYbwK81y3aHAA1_xC5H5Fo8RSXooc_42K7psjfg&oe=67BC7301&_nc_sid=d885a2,"The main object in the image is a red dress, which is a fashionable and stylish piece of clothing. The dress is designed to be comfortable and flattering, making it perfect for various occasions. The woman in the image is wearing the red dress while talking on her cell phone, showcasing its versatility and ease of use. The dress can be worn to work, events, or even as a casual outfit, making it a versatile addition to any wardrobe. The red color adds a pop of vibrancy and energy to any outfit, making it a great choice for those who want to stand out and make a statement.","[
  { ""Color"": ""Red"" },
  { ""Style"": ""Flattering/Fitted"" },
  { ""Material"": ""Soft fabric"" },
  { ""Use"": ""Casual/Work/Event"" },
  { ""Function"": ""Statement piece"" },
  { ""Comfort"": ""High"" }
]",Clothing,Dress,Formal Dress,Solid Red Dress,"Fitted, Flattering"
4,4,https://instagram.fdel27-7.fna.fbcdn.net/v/t51.2885-15/480790482_18533102551000183_6533953103004344484_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=instagram.fdel27-7.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2AELPBQgdO9iE9XXm1GOlBU0XehBHsZZLJlLifRbZdn25n-EQ9Qow-4D5GZhN2k7quw&_nc_ohc=NM0pnn7O2zAQ7kNvgFwznlD&_nc_gid=a01237c7e6244e20bc657c38318926c1&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYArq5Jg2cKE3rbcqJa6XUCh6IRD-EJL87714O34B3kv5w&oe=67BC5F48&_nc_sid=d885a2,"The main object in the picture is a man wearing a pair of glasses, a brown shirt, and a bald head. He is standing in front of a brick wall and appears to be talking. The glasses are a fashion accessory that not only enhances the man's appearance but also serves a practical purpose by correcting his vision. The brown shirt is a versatile clothing item that can be worn in various settings, making it a popular choice for many people. The brick wall in the background adds a decorative element to the scene, while the bald head of the man showcases a unique hairstyle that may be a personal preference or a result of medical reasons. Overall, this image captures a moment of everyday life where fashion, personal style, and practicality come together.","[
  { ""Shirt Color"": ""Brown"" },
  { ""Shirt Material"": ""Cotton/Blend"" },
  { ""Shirt Fit"": ""Regular"" },
  { ""Shirt Style"": ""Casual"" },
  { ""Glasses Function"": ""Vision correction"" },
  { ""Glasses Style"": ""Minimalist"" }
]",Clothing,Top,Shirt,Solid Brown Shirt,Casual Shirt
5,4,https://instagram.fdel27-7.fna.fbcdn.net/v/t51.2885-15/480790482_18533102551000183_6533953103004344484_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=instagram.fdel27-7.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2AELPBQgdO9iE9XXm1GOlBU0XehBHsZZLJlLifRbZdn25n-EQ9Qow-4D5GZhN2k7quw&_nc_ohc=NM0pnn7O2zAQ7kNvgFwznlD&_nc_gid=a01237c7e6244e20bc657c38318926c1&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYArq5Jg2cKE3rbcqJa6XUCh6IRD-EJL87714O34B3kv5w&oe=67BC5F48&_nc_sid=d885a2,"The main object in the picture is a man wearing a pair of glasses, a brown shirt, and a bald head. He is standing in front of a brick wall and appears to be talking. The glasses are a fashion accessory that not only enhances the man's appearance but also serves a practical purpose by correcting his vision. The brown shirt is a versatile clothing item that can be worn in various settings, making it a popular choice for many people. The brick wall in the background adds a decorative element to the scene, while the bald head of the man showcases a unique hairstyle that may be a personal preference or a result of medical reasons. Overall, this image captures a moment of everyday life where fashion, personal style, and practicality come together.","[
  { ""Shirt Color"": ""Brown"" },
  { ""Shirt Material"": ""Cotton/Blend"" },
  { ""Shirt Fit"": ""Regular"" },
  { ""Shirt Style"": ""Casual"" },
  { ""Glasses Function"": ""Vision correction"" },
  { ""Glasses Style"": ""Minimalist"" }
]",Accessories,Eyewear,Vision Glasses,Minimalist Glasses,Minimal Eyewear
6,5,https://instagram.fdel27-7.fna.fbcdn.net/v/t51.2885-15/480581168_19217449615057818_6480304016281655629_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=instagram.fdel27-7.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2AEao-fJrX51OerCEDGndkKq0PNV47q88CZ3JgutCjWXx2VvlYMnMC3yiKuf3i2kTTM&_nc_ohc=Kar0odthdiAQ7kNvgEKlrKw&_nc_gid=032bf8502c5c4201909633cccd724564&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYCAvjK9n5ykPe8wVtRdj4QOQu8hf8EGNTMf_Oz1HYWm0Q&oe=67BC6D2C&_nc_sid=d885a2,"Introducing the elegant and stylish perfume bottle, a must-have accessory for any woman's collection. This sleek, silver bottle is adorned with a shiny silver chain and features a silver ball on top, adding a touch of sophistication to any outfit. The perfume is designed to be easily carried around, making it a perfect travel companion. The bottle's unique design and high-quality materials ensure that it will be a cherished possession for years to come. The perfume is suitable for various occasions, from formal events to casual outings, and can be worn alone or layered with other fragrances to create a personalized scent. Treat yourself to the luxury of this exquisite perfume bottle and elevate your style to the next level.","[
  { ""Color"": ""Silver"" },
  { ""Material"": ""Metal/Glass"" },
  { ""Style"": ""Elegant/Sophisticated"" },
  { ""Accessory"": ""Silver chain"" },
  { ""Function"": ""Travel-friendly"" }
]",Accessories,Perfume Bottle,Travel-friendly Perfume,Silver Perfume,"Elegant, Sophisticated"
7,6,https://instagram.fdel27-7.fna.fbcdn.net/v/t51.29350-15/468503039_1241725673797407_3858043650018235471_n.jpg?stp=dst-jpg_e35_s1080x1080_tt6&_nc_ht=instagram.fdel27-7.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2AE6e__4aZLAkRoYP1aY-XtGOSlUx7tPOuSOQf6LRn1c7ofV_M6q6mhB5KCxpaqKDBo&_nc_ohc=pT7ETqUDyu4Q7kNvgF1flrE&_nc_gid=d38eaa57322648eab06f0b8244f7a153&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYDBcreQRAwMhereiP4oTKOTvsWNZ1sDessxB_n0e76P5g&oe=67BC8826&_nc_sid=d885a2,"The image features a woman wearing a pink dress and a sparkly crown on her head. The crown is a decorative accessory that adds a touch of elegance and sophistication to her outfit. It can be worn for special occasions such as weddings, proms, or other formal events. The crown's sparkly design also makes it a great accessory for photoshoots or performances. The pink dress complements the crown, creating a stylish and eye-catching look. Overall, this combination of clothing and accessories is perfect for creating a memorable and fashionable appearance.","[
  { ""Dress Color"": ""Pink"" },
  { ""Dress Style"": ""Formal"" },
  { ""Crown Color"": ""Sparkly/Silver"" },
  { ""Crown Function"": ""Decorative/Formal"" }
]",Clothing,Dress,Formal Dress,Pink Formal Dress,Elegant
8,6,https://instagram.fdel27-7.fna.fbcdn.net/v/t51.29350-15/468503039_1241725673797407_3858043650018235471_n.jpg?stp=dst-jpg_e35_s1080x1080_tt6&_nc_ht=instagram.fdel27-7.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2AE6e__4aZLAkRoYP1aY-XtGOSlUx7tPOuSOQf6LRn1c7ofV_M6q6mhB5KCxpaqKDBo&_nc_ohc=pT7ETqUDyu4Q7kNvgF1flrE&_nc_gid=d38eaa57322648eab06f0b8244f7a153&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYDBcreQRAwMhereiP4oTKOTvsWNZ1sDessxB_n0e76P5g&oe=67BC8826&_nc_sid=d885a2,"The image features a woman wearing a pink dress and a sparkly crown on her head. The crown is a decorative accessory that adds a touch of elegance and sophistication to her outfit. It can be worn for special occasions such as weddings, proms, or other formal events. The crown's sparkly design also makes it a great accessory for photoshoots or performances. The pink dress complements the crown, creating a stylish and eye-catching look. Overall, this combination of clothing and accessories is perfect for creating a memorable and fashionable appearance.","[
  { ""Dress Color"": ""Pink"" },
  { ""Dress Style"": ""Formal"" },
  { ""Crown Color"": ""Sparkly/Silver"" },
  { ""Crown Function"": ""Decorative/Formal"" }
]",Accessories,Headwear,Decorative Crown,Sparkly Crown,Decorative
9,7,https://instagram.fdel27-5.fna.fbcdn.net/v/t51.2885-15/480720409_18674553760060659_290327036899971367_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=instagram.fdel27-5.fna.fbcdn.net&_nc_cat=103&_nc_oc=Q6cZ2AE6nC0e4orqp4-QVyHlqPhjv807a6BlOcArIz8lqoWITJrkOYt4_DtRnvfIAIdteKc&_nc_ohc=9ZK7RJRwswgQ7kNvgFS4rgB&_nc_gid=d5a98164365e4157bbf9d8369cafc829&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYDTrIA-Hk53upeEDSxun-_nveDvbcZOyLvX3aHZxpl2qA&oe=67BC6F0C&_nc_sid=d885a2,"The image features a black lanyard with a badge hanging from it. The badge is a Nike Skims branded lanyard, which is a fashionable accessory that can be worn around the neck. The badge is adorned with a picture of Kim Kardashian, making it a popular and stylish choice for fans of the celebrity. The lanyard can be used for various purposes, such as attending events, holding tickets, or displaying personal identification. The combination of the Nike Skims brand and the iconic image of Kim Kardashian makes this lanyard a must-have for fans and collectors of fashionable accessories.","[
  { ""Color"": ""Black"" },
  { ""Material"": ""Nylon"" },
  { ""Brand"": ""Nike Skims"" },
  { ""Accessory"": ""Badge (Kim Kardashian picture)"" },
  { ""Use"": ""Event/ID display"" }
]",Accessories,Lanyard,Event Lanyard,Nike Lanyard with Badge,"Functional, Casual"
