,post_image_urls,post_text
0,https://instagram.fdel1-4.fna.fbcdn.net/v/t51.2885-15/480497959_18626651626001321_1103659959997687485_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=instagram.fdel1-4.fna.fbcdn.net&_nc_cat=105&_nc_oc=Q6cZ2AGpJX4VYfDQc-hAjFWYrOCKqaSrzdfzqSM_2IieFFyi9ei6X8slwT57TYOtFoHsLr4&_nc_ohc=29NeieusoXgQ7kNvgG3ckLX&_nc_gid=76104bffec3d45b083eda327d86dbc96&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYATjAIKmgUB9pG0F6khDfj6TJ2Ug0TPsI4KCWBX3YvxCw&oe=67BCF59A&_nc_sid=d885a2,
1,https://instagram.fdel1-8.fna.fbcdn.net/v/t51.2885-15/480190250_18606423796056421_4865787683655900569_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=instagram.fdel1-8.fna.fbcdn.net&_nc_cat=101&_nc_oc=Q6cZ2AFgpoRDgusWsOMSNqhJFEKQ6fSiXXDwqjrmaUk6Jtd5ZVaJjnHjnGNCag8wDa72BSk&_nc_ohc=2ouHgDJOwrcQ7kNvgF79Lbg&_nc_gid=2847c3d26e254085b1d3f5488c28c6c0&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYBVCPv5RDCbkqMe4OOg_I1lAS6H7VX2bbisZ_LDmus0UQ&oe=67BCCA4F&_nc_sid=d885a2,
2,https://instagram.fdel1-2.fna.fbcdn.net/v/t51.2885-15/480082862_18556417945033891_4455697343797189186_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=instagram.fdel1-2.fna.fbcdn.net&_nc_cat=107&_nc_oc=Q6cZ2AGqOjifFjL_JmQQDlOmmG8mL0HiiX5d9Xt-qYuKPNxn-36Fgs6BVPc6YIEmyOIejf4&_nc_ohc=KCGgxl_NEKwQ7kNvgHLU3C4&_nc_gid=f1899c21c28147ffa40255c2aaa16e2a&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYDmfMC5623CYc2bRyrDTQedFfRaN0sXh7lSJnWgLSRBmg&oe=67BCED42&_nc_sid=d885a2,
3,https://instagram.fdel1-6.fna.fbcdn.net/v/t51.2885-15/474101750_1285540566056637_2750582215628694886_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=instagram.fdel1-6.fna.fbcdn.net&_nc_cat=109&_nc_oc=Q6cZ2AFRwXrQL-sBub9frb2NDF-FwsN2I3fPhTsjCbAjThOoa7HxgQ1iaGLj_tA0un3v8C0&_nc_ohc=yJqKZjVu0FMQ7kNvgENf6kW&_nc_gid=1052fb277e4d4807860692a6b45f84a7&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYBi9_2t5gBFozSduXnqPXKc3DhyxeRZ1gaejEYCBvf7RQ&oe=67BCE381&_nc_sid=d885a2,
4,https://instagram.fdel1-2.fna.fbcdn.net/v/t51.2885-15/480790482_18533102551000183_6533953103004344484_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=instagram.fdel1-2.fna.fbcdn.net&_nc_cat=107&_nc_oc=Q6cZ2AGc57gnUsWUBKppXBfpZm09h50cupc53v2eCS73zpM12yWpGFRfd_u3GX6j9hKX140&_nc_ohc=NM0pnn7O2zAQ7kNvgEZhP4r&_nc_gid=70ae7822dee14d94959847b83ffa1140&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYCtwJGt-6qLKiAnXUasKZnYw_iRg2cgi-4ywu18BeWYiw&oe=67BCCFC8&_nc_sid=d885a2,
5,https://instagram.fdel1-6.fna.fbcdn.net/v/t51.2885-15/480581168_19217449615057818_6480304016281655629_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=instagram.fdel1-6.fna.fbcdn.net&_nc_cat=106&_nc_oc=Q6cZ2AG_Dywm9mWCO5q_uYrCW69snrJrpw4309ezfrDrt2aHkfzi_MyronjKfg5XB3vB5Y4&_nc_ohc=Kar0odthdiAQ7kNvgEmns7E&_nc_gid=2fb0e33c60694121abf6fa6a8798e476&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYDgisy6765KVzpVscAz1-lD6xT0ftmCPxEgRW1ZPrLupA&oe=67BCDDAC&_nc_sid=d885a2,
6,https://instagram.fdel1-2.fna.fbcdn.net/v/t51.29350-15/468503039_1241725673797407_3858043650018235471_n.jpg?stp=dst-jpg_e35_s1080x1080_tt6&_nc_ht=instagram.fdel1-2.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2AHl8i1dvtfDF3A3CtwecOIJgVbbbAmex5I5w-oSME8RuoKmMAz2LeCUkmsfIjQT32w&_nc_ohc=pT7ETqUDyu4Q7kNvgGXtNCU&_nc_gid=a301f86e811548edb718439576ebe9d4&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYDpD1Iqj9MZrnFuJlSf5wMVQSCe3FpTbYmfYQEG9TAORQ&oe=67BCF8A6&_nc_sid=d885a2,
7,https://instagram.fdel1-2.fna.fbcdn.net/v/t51.2885-15/480720409_18674553760060659_290327036899971367_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=instagram.fdel1-2.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2AGjfs2BtxmDIl1S0m-qEXffju8U0ymiyo5CVs82tmpYDw4QMHOSEpYY9ZoNXK7gwqg&_nc_ohc=9ZK7RJRwswgQ7kNvgHdakjY&_nc_gid=d9097b62a20f4ad5b24cd100534b0de4&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYBtfuQe0TXefYzDDhTEH_xh4AaPBgQC68iU2Wbd2RzmDQ&oe=67BCDF8C&_nc_sid=d885a2,
8,https://instagram.fdel1-2.fna.fbcdn.net/v/t51.2885-15/480169950_17910420660082609_2437802121761773417_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=instagram.fdel1-2.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2AFP1buhyLbJYEJ34m8gm_ToSqLRsSaoCDlk8w5GoA82MwJOxw8wVsSV6chyDoU1bFU&_nc_ohc=fdcvYfwnwB0Q7kNvgH8741I&_nc_gid=6bf5560ca6794f919e82d2803d740e7c&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYBDpwF6s4aFTJ5jswYb900wh86rGJV_S9nSGAHqdGImfw&oe=67BCFD1B&_nc_sid=d885a2,
9,https://instagram.fdel1-6.fna.fbcdn.net/v/t51.2885-15/480495523_18583596052048326_8629766961929979963_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=instagram.fdel1-6.fna.fbcdn.net&_nc_cat=106&_nc_oc=Q6cZ2AGfy6ob8EFFADRESeEeb_jtbchU2JaPeb5s1Z2YV7cfNDHduNlH-tGfSUu6nsmIFi8&_nc_ohc=Uy-My_Jsn_wQ7kNvgG1IKpn&_nc_gid=5208494bb8714cdcb1f916a0fd37cdf7&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYBL8Qf_JtNTboZH2cXb1Gtbaxq9AXTdE47Pvb_8Oae-2g&oe=67BCD790&_nc_sid=d885a2,
